"","Page","Date","message"
"89","Tekebaev",2017-12-07,"Кудай колдосун Текебаевди"
"90","Tekebaev",2017-11-07,"Мөңгү темасы боюнча толук таалымат бул пресс конференцияда

“Ата Мекен” фракциясынын жетекчиси Өмүрбек Текебаев өкмөт “Центерра голд” менен келишип алып мөңгүлөрдү талкалоо аркылуу алтын өндүрүүгө уруксат алганы калганын айтып чыкты

23июнь 2015"
"91","Tekebaev",2017-11-07,"Текебаев Кумтөр маселесин чечүүнүн эки жолу бар Национализация же Капутиляция Национализация жолу менен гана мамлекетке пайдалуу чечим кабыл алган болобуз

26февраль 2015жыл"
"92","Tekebaev",2017-11-07,"Омуке булар  капитуляция болдуАйтканыныз туура экен"
"93","Tekebaev",2017-11-07,"Эх ушундай Омукеден дагы бироо болгондода кыргызстан онукмокдаАябай акылдуу экенине дагы бир жолу толкундандым"
"94","Tekebaev",2017-11-07,"Азыркы атабыз кетээринде да монгуну талкалатып алдындагы алтынды пайдага кармата бергени калганбы дейм"
"95","Tekebaev",2017-11-07,"шибегени  капка каталбайбыз чындык бир күнү билинет ким кара ким ак"
"96","Tekebaev",2017-11-07,"Молодец Омуке"
"97","Tekebaev",2017-11-07,"Эркек"
"98","Tekebaev",2017-11-08,"Чыркыраган чындыкты айткан экен биздин койлор кантип тушунсун "
"99","Tekebaev",2017-11-08,"Мына сага чыныгы лидер мына сага патриот"
"100","Tekebaev",2017-11-09,"Mıktı lider bolchubuyrusa chygyp kalar"
"101","Tekebaev",2017-11-09,"Омукеди тарых баасын берет бийлик укпаса укпасын соттотуп жоготту иштетип кучун акылын мамлекет учун алса болмок"
"102","Tekebaev",2017-11-09,"Бар болунуз"
"103","Tekebaev",2017-11-13,"Ошондон бери бул эмне кылып журот жоголбой ошол парламенттен ошол окмоттон жалгыз ушул шакал журот го жоголбой Кооз суйлогон энен эшек"
"104","Tekebaev",2017-11-13,"Шакал а сен канчалардын кулусун ушул тапта "
"105","Tekebaev",2017-11-07,"Өмүрбек Текебаев «МӨӉГҮНҮ ТАЛКАЛООГО БАКИЕВДИН АБИЙИРИ ЖОЛ БЕРГЕН ЭМЕС»

4июнь 2015жыл"
"106","Tekebaev",2017-11-07,"Молодец Текебаев"
"107","Tekebaev",2017-11-07,"Текебаев чыныгы лидер"
"108","Tekebaev",2017-11-07,"эми  бул  чындыкты кайда жашырабыз "
"109","Tekebaev",2017-11-08,"Эмине учун ушундай нермелерди жпшыра бертшет
Суйлой албай тушунугу жок пдамдар эмине иштеп журушот 
Канчалаган акчаны кайда 
Кимдин кызыкчылыгына жумшалып жатат
Эмине деген шумдук
Элди ким ойлойт
Качан Кыргыз коз караандысыз жашайт "
"110","Tekebaev",2017-11-08,"Камаласынар дегени жакты"
"111","Tekebaev",2017-11-08,"Чыныгы лидер"
"112","Tekebaev",2017-11-08,"Акыйкатты айтыптыр"
"113","Tekebaev",2017-11-08,"Камаганга ким буйрук бергени белгилуу болуп турат"
"114","Tekebaev",2017-11-08,"Текебаев гана ылайык"
"115","Tekebaev",2017-11-08,"Текебаев эн туура орду менен суйлоду ушул инсан президент болуш керек эле"
"116","Tekebaev",2017-11-08,"туура суроолорду берип туура айтты бирок ушул киши убактылуу окмотто отурганда конституцияны канча жолу озгорту киргизди ошол кездерде кумтор маселесине монгулорго карата чечим чыгарып койсо колунан келмекбирок кылган жок та ошол кезде кырдаалдарды билип туруп элге жакшы корунуш учун суроо бере берсе мен деле суроолорум коп чечкундуу болуш керек деп ойлойм"
"117","Tekebaev",2017-11-08,"Азаматсын Омуко Сендей кыргыздын патриотунан бизде 5 6 сы болгондо Кыргызстан онукмок"
"118","Tekebaev",2017-11-08,"Омурбек Чершович жалгызда баарын бир жалгыз башына жуктоп олтура береби калган атка минерлер азыркы депутат соройлорго кускун гана келет элим качан мээбизде револиция болот кантип балдарга кен келечек курабыз келгиле туураны туура деп жашар мезгил келди жаны президент жаны кадамдарга барышын сураналы бизге Текебаевдай лидерлерибиз керек"
"119","Tekebaev",2017-11-08,"Чындап Текебаев корогоч алысты коргон акылдуу инсан молодец эркек экен "
"120","Tekebaev",2017-11-08,"Ушундай акылдуу эл учун куйгон азаматарды Аша камап жок кылгана калды 1 декабрьга чейин Эми кандай кылабыз Айланайын эл Ойгонолучу Сураныч Сага каргыш Аша Соке"
"122","Tekebaev",2017-11-08,"Садыр айтканда ойлонуш керек эле ошондо Садырды колдогондо ушунча болбойт беле"
"123","Tekebaev",2017-11-09,"Текабаев келечекти коро билген  инсан экен"
"124","Tekebaev",2017-11-09,"Колубуздагы алтындай болгон азаматтарыбызды каматып коюп карышкырларга тагдырыбызды карматып койдук Текебаев менен Жапаров эркиндикте болгондо буларга жол бермек эмес"
"125","Tekebaev",2017-11-09,"туштон кийин Омурбектин баркын билип жатабыз атанбайдын бийлиги барыбызды сындырат бир которулуш жазабасак болбой калды корунот мен которулуштун кереги жок деп ойлочумун бирок керек болуп калды окшойт"
"126","Tekebaev",2017-11-09,"карагылачы кыргыз элим бул видеону тараткыла корушсун ойгонгула кыргыз элим "
"127","Tekebaev",2017-11-09,"Ушундай кишилерибизди тыяка киргизипоздоруну колдорунан эчтеке келбей кылайын дешсе мееси иштебей отура бергиле манкурттар"
"128","Tekebaev",2017-11-09,"Келечек муундун алдында жооп бериши керек ушуга тиешелуу кишинин баарыкичине муундун бетин кантип карашат болду экен келечекте "
"129","Tekebaev",2017-11-09,"Уважаю "
"130","Tekebaev",2017-11-09,"Өмүрбек Текебаев баатыр"
"131","Tekebaev",2017-11-09,"Эн куйгон текебаев экен Башка бир дагы депутат мындай изилдеп жумуш алып барган жок"
"132","Tekebaev",2017-11-09,"ТЕКЕБАЕВДИ КАМАДЫК ЭМИ  БАЯГЫ ТЕМАГА КАЙРЫЛЫП МОНГУНУ САТЫП КОБУРООК БАЙЫСАМ ДЕП ЖАТТЫНАР БЕЛЕ  ОТО ЖАНЫЛАСЫНАР ТЕКЕБАЕВТЕН БАШКА ТЕКЕБАЕВТЕР БАР ОШОНУ УНУТПАГЫЛА ЭГЕР МОНГУНУ БУЗЧУ БОЛСОНОР ЭЛ ЧЫККЫНЧЫСЫ ДЕП ОЛУМ ЖАЗАСЫНА КЕТЕСИНЕР АНЫ ЭСИНЕРДЕН ЧЫГАРБАГЫЛА "
"133","Tekebaev",2017-11-09,"Аа кайран текебаев
Али бул кишинин караанына зар болобуз го"
"134","Tekebaev",2017-11-11,"Ушундай   Кыргызстанга күйгөн  патриот кишини  буйрук берип олтургузкп койгон  адамдын гору ортонсун  Жер кабыл кылбасын  Качан акыйкат  орнойт ������������������"
"135","Tekebaev",2017-11-11,"Кыргызстандын тарыхында  О ТЕКЕБАЕВ калат  АША калбайт  эч качан"
"136","Tekebaev",2017-11-13,"Кайран Текебаев ак ийилет бирок сынбайт бир куну сиздин кунунуз чыгатБулар ушинтип эле  журо бербейт жооп берет"
"137","Tekebaev",2017-12-19,"Омуке убагында Мадумаровтун айтканын укканда бул абалга тушпойт эле Мадумаров азыркы биздин коомдо болуп жаткан терс ыплас корунуштордун болушун 6 жыл мурун эскертип айткан ошондо эч ким уккан эмес айрыкча Омуке эми оз кылган иш оз башына муш болду конституциянын автору озу эле"
"138","Tekebaev",2017-11-07,"Мөңгү жана Кумтөр

АтаМекен фракциясында Кумтор маселесин кароо учуру"
"139","Tekebaev",2017-11-08,"Жанторо эзилетго ������"
"140","Tekebaev",2017-11-22,"Мына элине куйгон адам"
"141","Tekebaev",2017-11-07,"Текебаев Кумтөр тууралуу

Өмүрбек Текебаев кандай бийлик болбосун Канадалык компанияга жакындаары менен өзгөрөөрүнө таң калды

23октябрь 2013жыл"
"142","Tekebaev",2017-11-07,"АША көрсө болмок Текебаев кандай чындыкты айтып жатканын"
"143","Tekebaev",2017-11-07,"Жээнбеков жинге тийип сүйлөйт да не зло потробляйте дегендей деп көчөнүн сөзүн сүйлөп"
"144","Tekebaev",2017-11-08,"Чыныгы гений оратор акылдуу адам бир кун баарибир  кайтып келет ошол ордуна"
